Sentence	IsHeaderFooter	Page	Line	X1	X2	Y	Padding	Font
Safety data sheet	false	1	11	70.92	224.01	698.88	0.0	GUKDRG+Arial-BoldMT
Page:	false	1	13	490.32	510.76587	644.64	0.0	RNZRPK+ArialMT
1/15	false	1	13	515.8773	541.4347	644.64	0.0	RNZRPK+ArialMT
BASF Safety data sheet according to Regulation (EC) No. 1907/2006 as amended from time to time.	false	1	14	70.90439	517.7897	631.443	0.0	RNZRPK+ArialMT
Date / Revised:	false	1	15	70.92	137.67421	619.92	0.0	RNZRPK+ArialMT
16.08.2019	false	1	15	142.44237	194.8921	619.92	0.0	RNZRPK+ArialMT
Version:	false	1	15	485.28586	518.0484	619.92	290.39374	RNZRPK+ArialMT
7.1	false	1	15	522.72876	541.45026	619.92	290.39374	RNZRPK+ArialMT
Date previous version:	false	1	16	70.91995	169.66248	608.39624	0.0	RNZRPK+ArialMT
14.08.2019	false	1	16	174.3645	226.08679	608.39624	0.0	RNZRPK+ArialMT
Previous version:	false	1	16	445.31635	518.55365	608.39624	219.22955	RNZRPK+ArialMT
7.0	false	1	16	523.131	541.4403	608.39624	219.22955	RNZRPK+ArialMT
Product:	false	1	17	70.91	110.879486	596.8725	0.0	RNZRPK+ArialMT
Cavipor® T0	false	1	17	110.86952	172.8008	596.8725	-0.009963989	GUKDRG+Arial-BoldMT
(ID no. 860071/SDS_GEN_EU/EN)	false	1	18	382.54846	541.4303	585.34875	0.0	RNZRPK+ArialMT
Date of print 23.08.2019	false	1	19	431.38226	541.4303	572.15173	0.0	RNZRPK+ArialMT
SECTION 1:	false	1	25	70.92	123.27029	495.24	0.0	GUKDRG+Arial-BoldMT
Identification of the substance/mixture and of the	false	1	25	129.08699	425.7386	495.24	0.0	GUKDRG+Arial-BoldMT
company/undertaking	false	1	26	92.16	220.17725	481.44	0.0	GUKDRG+Arial-BoldMT
1.1. Product identifier	false	1	27	92.16	207.67154	462.6	0.0	GUKDRG+Arial-BoldMT
Cavipor® T0	false	1	29	92.16	189.36888	433.8	0.0	GUKDRG+Arial-BoldMT
